feature,prominence
 ,0.5296589515156999
nnp,0.382811238080297
nn,0.3770063146296477
e,0.331070631196284
in,0.3226951320144142
t,0.2567350170410223
dt,0.25528632195390083
a,0.21513096814103097
n,0.2111891659222479
i,0.19981300969366203
o,0.18607144608867104
s,0.17467426896265606
r,0.16972661626212698
nns,0.16777239488685597
jj,0.16121536349475526
nnp nnp,0.13933309385191153
vbd,0.11508847174018826
nn in,0.11494777125683668
in dt,0.11021023698151532
dt nn,0.10994400085475271
d,0.1090071632610044
h,0.10777992902913104
l,0.10124344688658544
prp,0.09506514028562463
e ,0.08505196743807253
c,0.0835954694157875
jj nn,0.0826943335642275
vb,0.08141597209319253
rb,0.08096023893908764
in nnp,0.08052520662275506
 t,0.07734091025028711
cc,0.07492820956904979
to,0.07423179765273404
vbg,0.0737644985828168
vbn,0.07325729999453569
u,0.06976667318616195
 a,0.06295504468679868
m,0.06276424764279738
dt nnp,0.06239655934157739
s ,0.06182125717897594
cd,0.06175954670374141
th,0.060696144912883665
vbz,0.05942029497236618
t ,0.05750110297366683
p,0.0574544332930625
f,0.057226459333691776
g,0.05708139665670441
dt jj,0.056930277784739046
nn nn,0.055704298405568176
nns in,0.055179697801683594
in,0.05442520114760176
he,0.05015652207875447
en,0.049266400949815596
to vb,0.04912107203401107
 th,0.048736070882780445
d ,0.04873203115158672
nnp nn,0.04788517747041413
nnp in,0.04713556803828513
vbp,0.04388640963700114
nnp vbd,0.043837644013225506
nt,0.043738441492424715
n ,0.043366249940837265
w,0.04272674036250093
jj nns,0.04144546263726925
y,0.04074832386876399
the,0.04048801781132412
re,0.03899072321362115
er,0.03894060436395244
in prp,0.03830864094643058
on,0.03764885219308089
nn nns,0.037580962105289016
he ,0.037258554903731894
in nn,0.036462214478217084
nn nnp,0.035368549906440845
 s,0.03500577628748312
an,0.03476494986399927
vbn in,0.03445566685204989
 i,0.03445525764793707
ent,0.03381534033662706
 o,0.03367999062804761
at,0.03362583965051805
b,0.032930442985655596
md,0.031517912565255844
nn vbd,0.031081331383802584
nn cc,0.030987088447414296
te,0.03075193067291309
 e,0.030511177251461834
prp nn,0.030316438127648008
.,0.030247548454167127
ed,0.030190021256368507
in jj,0.03004313180149337
es,0.030007767642133257
ti,0.0294806182934414
vbd dt,0.0287126594911424
nnp cc,0.028701304160012982
 c,0.028089184084463276
or,0.028025839437436927
 w,0.02760638805368434
",",0.027552927651603457
r ,0.027537255571032412
vbd in,0.027247386941280375
vb dt,0.02697771344536381
", ",0.026894174811707965
dt nns,0.026815315984655124
v,0.026768605478408015
y ,0.026678521854363275
st,0.026502189332947877
ng,0.026350327961393572
nn to,0.026147214352918755
nn vbz,0.026028419740533888
in nns,0.02575908324724031
md vb,0.02558275997769337
prp vbd,0.0250563695642658
nnp nns,0.024928021871600467
nt ,0.02487485825427256
in cd,0.024717569954583095
nd,0.024712151185582495
nn dt,0.024043250938136584
 f,0.023973896279313907
 p,0.02396901326261988
ed ,0.023439682757878853
to,0.023363197472945837
nnp vbz,0.02329832211133636
al,0.02328178561884859
ing,0.022753217628177103
nns cc,0.022599718399423954
. ,0.022448665117666092
ar,0.022414169806069376
in vbg,0.022222024371320544
 h,0.02196255538274905
o ,0.021915360573474794
cc nnp,0.021648553552379345
vbg dt,0.02157568942802793
g ,0.021571823873343932
it,0.021562897528523094
nnp dt,0.021420751783088107
de,0.02140253760506134
 en,0.021230878971621167
jj nnp,0.021111045043044733
vbd vbn,0.021034094749105944
ng ,0.02101205148506854
is,0.02084571119376128
nns vbp,0.020750661244003658
 b,0.02067039844075618
nns vbd,0.02057892678997177
wdt,0.0205402471100995
nnps,0.02015558247887681
to dt,0.020024584363680837
prp vbp,0.01996435105810609
vbg in,0.01990461449182716
cd nns,0.019484323891970117
 m,0.019407775430395183
 in,0.01936563295291203
as,0.019346949362791008
vbd nnp,0.019218009251918765
ou,0.019102852449637095
se,0.019082743143981507
rb in,0.01907081051604328
wp,0.018768153748278057
 r,0.0186736056712217
ha,0.018570648772076835
nn vbg,0.018468990066083494
 d,0.018400467507328967
jj jj,0.018366161661512722
 an,0.018271250822557015
vbz vbn,0.018149543202159356
me,0.01812657788079643
a ,0.018108438400846458
l ,0.01801342478657739
